"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-miR-155-5p",73.0691613454604,0.0655329839905222,0.162294541241136,0.403790438602328,0.686366828113341,0.932802023813451
"hsa-miR-15a-5p",2145.44640932396,-0.157362464479636,0.127910303125433,-1.23025636430023,0.218601119032828,0.860062519455433
"hsa-miR-15b-5p",47135.7778507602,0.0480489595693927,0.122369139603242,0.39265585853739,0.694573677114341,0.935142586862017
"hsa-miR-16-5p",33352.41161097,-0.182956641925663,0.141086473738973,-1.29676954194883,0.194710493485192,0.843456908976773
"hsa-miR-181a-5p",786.658432441566,0.284261956852284,0.134682285296994,2.11061132668966,0.0348057333007801,0.564434140172484
"hsa-miR-181b-5p+hsa-miR-181d",36.9164200830541,-0.018353620206327,0.0966284943451705,-0.189940041296363,0.849356115154227,0.980639460980737
"hsa-miR-181c-5p",31.0398345741113,0.0345534123460569,0.10114563381438,0.341620404588778,0.732636579460703,0.944729475016529
"hsa-miR-182-5p",1187.2413551434,0.209072832980121,0.13349664467454,1.56612799887093,0.117318654497476,0.765365210516158
"hsa-miR-1825",1.46244024667056,-0.0188509306182622,0.154461441682704,-0.122042953975439,0.902865000154142,0.99079835407862
"hsa-miR-1827",1.53453789967764,-0.0173869458432849,0.152847447838577,-0.113753589537507,0.909433129878642,0.991108791263898
"hsa-miR-183-5p",287.920221968208,0.130196286918558,0.122988171940166,1.05860819674512,0.289778252375866,0.897914960809412
"hsa-miR-184",2.83107390928378,-0.00818536097585902,0.161864130471393,-0.050569332143082,0.959668700950246,0.991108791263898
"hsa-miR-185-5p",6971.27069122318,0.0618447945277351,0.109161894800349,0.56654196632301,0.571025413013368,0.911730214791225
"hsa-miR-186-5p",1575.7016291687,0.177400256906339,0.113955692523793,1.55674765321003,0.11953040987926,0.765365210516158
"hsa-miR-187-3p",3.30458650048172,0.00836835112670273,0.155068596935595,0.0539654790981207,0.956962667834039,0.991108791263898
"hsa-miR-188-3p",9.90877570747634,0.123552060137507,0.168314681808612,0.73405396849454,0.462915846681603,0.911730214791225
"hsa-miR-188-5p",6.90961331280373,0.0530053973336953,0.149937352249004,0.353516962508902,0.723700914429755,0.943840943805629
"hsa-miR-18a-5p",12.2200436036015,-0.12986130941957,0.186773199221186,-0.695288777838954,0.4868743456418,0.911730214791225
"hsa-miR-18b-5p",5.64083713793446,-0.0915067261041048,0.17389769428247,-0.526210117285778,0.598742225275835,0.911730214791225
"hsa-miR-1908",1.78799911317035,0.127315490757377,0.151197036060939,0.842050175547514,0.399759868516601,0.911730214791225
"hsa-miR-1909-3p",3.47348619854549,0.223775195227362,0.179979459905197,1.24333740830889,0.213743524735999,0.855289959511904
"hsa-miR-190a",11.2665556147896,-0.322375391755434,0.22715071985668,-1.41921360389628,0.155836751034307,0.789294935867802
"hsa-miR-190b",23.1854342919702,-0.121372425541829,0.140326431442341,-0.864929181867639,0.387077659529593,0.911730214791225
"hsa-miR-191-5p",25616.0935964931,0.266465466612799,0.109789988950339,2.42704703006509,0.0152222824225908,0.434922354931166
"hsa-miR-1910",1.41850004069672,-0.180702719868833,0.158272483903785,-1.14171911258234,0.25357079374298,0.893125237514716
"hsa-miR-1911-5p",1.81240265704218,0.238320505099505,0.149335388197761,1.59587427987198,0.110516864962486,0.755670871538367
"hsa-miR-1912",1.44141047578428,-0.104248370005091,0.155043967141962,-0.672379402609312,0.501342192067412,0.911730214791225
"hsa-miR-1913",1.80856787687357,-0.00351454964476137,0.151113358279271,-0.0232577032552355,0.981444710491545,0.998925913986305
"hsa-miR-1914-5p",5.06057159033873,0.000249729375212372,0.165128606785173,0.00151233259987024,0.998793333627736,0.999398405571413
"hsa-miR-1915-3p",1.79584429743453,0.17807502470117,0.151097025827848,1.17854751756702,0.238578400425144,0.876517196224673
"hsa-miR-192-5p",437.562933978925,-0.0586642770920331,0.0974160872276585,-0.602203175692495,0.547038902048833,0.911730214791225
"hsa-miR-193a-3p",6.44398332238422,0.0583942529661279,0.185439366249809,0.31489674575065,0.752840052521939,0.947535460713889
"hsa-miR-193a-5p",23.4971765600401,0.169166323775947,0.148763083961405,1.13715257355,0.255474509201176,0.893125237514716
"hsa-miR-193b-3p",2.23134871228052,-0.0060873020492216,0.162674218901935,-0.0374202014941976,0.970149965486835,0.996267768443183
"hsa-miR-194-5p",604.652942169895,-0.0704842598230615,0.105016524479305,-0.671173038457882,0.502110302296519,0.911730214791225
"hsa-miR-195-5p",18.3805793895631,-0.382590329353896,0.248648437192523,-1.53867980701469,0.123882484419863,0.766798775014395
"hsa-miR-196a-5p",3.4274798766565,0.0226306309568319,0.162321919731138,0.139418206698862,0.889119685996189,0.988031579360942
"hsa-miR-196b-5p",12.6483949683543,-0.0794153193215059,0.151639659798074,-0.523710745772291,0.600479740459343,0.911730214791225
"hsa-miR-197-3p",232.142237135838,0.108809546987765,0.167961955355434,0.647822578377981,0.517099710289786,0.911730214791225
"hsa-miR-1972",14.6327531930118,-0.0279167806711863,0.274584263591127,-0.101669266497938,0.919019197486482,0.991108791263898
"hsa-miR-1973",15.8976087081531,0.0687009575557536,0.127236291191142,0.539947816087681,0.589233020843148,0.911730214791225
"hsa-miR-1976",1.8643597227291,0.0788327416607036,0.149127083689669,0.528627930689996,0.597063580750077,0.911730214791225
"hsa-miR-198",2.26461424912699,0.0833322790277882,0.166129592613406,0.501610084734919,0.615941824144741,0.91697073304748
"hsa-miR-199a-3p+hsa-miR-199b-3p",59.9314282691233,-0.111620849559751,0.0915054378040398,-1.21982750138618,0.222530273640689,0.864195237439569
"hsa-miR-199a-5p",193.13359746058,0.00942720558164324,0.0974502708345091,0.0967386288505304,0.92293396229301,0.991108791263898
"hsa-miR-199b-5p",19.1262978670114,-0.0200395550635071,0.135004319342624,-0.148436399376596,0.881998375689762,0.987147952163427
"hsa-miR-19a-3p",257.075435115021,-0.157066814966025,0.125189218721483,-1.25463531580513,0.209611177058368,0.846913846700477
"hsa-miR-19b-3p",1561.66037842083,-0.07237713150876,0.112528491492777,-0.643189387404219,0.520101218696508,0.911730214791225
"hsa-miR-200a-3p",8.69468628474317,-0.038454109905788,0.141037937718143,-0.272650823799172,0.785121639745265,0.959067904896038
"hsa-miR-200b-3p",11.5433116245794,-0.0190413663184641,0.139265670804848,-0.136726920628893,0.891246649775748,0.988031579360942
"hsa-miR-200c-3p",50.2330045416903,-0.070967392477525,0.0907651807105978,-0.781879041301118,0.434285663335819,0.911730214791225
"hsa-miR-202-3p",14.1208358572637,-0.108263660006955,0.131396344481054,-0.823947275204183,0.409969516914553,0.911730214791225
"hsa-miR-203",17.1279137066016,-0.125249215618945,0.149194742350922,-0.839501537690553,0.401187926674918,0.911730214791225
"hsa-miR-204-5p",29.0962260694476,-0.297646047932719,0.158259291920324,-1.8807492711554,0.0600060338030058,0.685783243462924
"hsa-miR-205-5p",2.1459649576521,-0.0450214082434923,0.146139753466499,-0.308070919620191,0.758028368571112,0.947535460713889
