"","Q202M.log2FoldChange","Q202M.padj","Q802M.log2FoldChange","Q802M.padj","Q922M.log2FoldChange","Q922M.padj","Q1112M.log2FoldChange","Q1112M.padj","Q1402M.log2FoldChange","Q1402M.padj","Q1752M.log2FoldChange","Q1752M.padj","Q206m.log2FoldChange","Q206m.padj","Q806m.log2FoldChange","Q806m.padj","Q926m.log2FoldChange","Q926m.padj","Q1116m.log2FoldChange","Q1116m.padj","Q1406m.log2FoldChange","Q1406m.padj","Q1756m.log2FoldChange","Q1756m.padj","Q2010m.log2FoldChange","Q2010m.padj","Q8010m.log2FoldChange","Q8010m.padj","Q9210m.log2FoldChange","Q9210m.padj","Q11110m.log2FoldChange","Q11110m.padj","Q14010m.log2FoldChange","Q14010m.padj","Q17510m.log2FoldChange","Q17510m.padj"
"1700037H04Rik",-0.00111153270578537,0.963304614804691,-0.00792215931944181,0.785181456393795,-0.00792215931944181,0.785181456393795,-0.00792215931944181,0.785181456393795,-0.00792215931944181,0.785181456393795,-0.00792215931944181,0.785181456393795,0.315904513232882,8.64336843508075e-06,-0.132605018293404,0.00973390242621775,-0.132605018293404,0.00973390242621775,-0.132605018293404,0.00973390242621775,-0.132605018293404,0.00973390242621775,-0.132605018293404,0.00973390242621775,-1.23764850456108e-06,0.999394469153369,-7.793926230563e-06,0.999394469153369,-7.793926230563e-06,0.999394469153369,-7.793926230563e-06,0.999394469153369,-7.793926230563e-06,0.999394469153369,-7.793926230563e-06,0.999394469153369
"1810009A15Rik",-0.0137751823091453,0.711743306164316,-0.00342648409087583,0.933382671934358,-0.00342648409087583,0.933382671934358,-0.00342648409087583,0.933382671934358,-0.00342648409087583,0.933382671934358,-0.00342648409087583,0.933382671934358,0.0129944937756589,0.87332586544248,0.0377748030990922,0.364438976547794,0.0377748030990922,0.364438976547794,0.0377748030990922,0.364438976547794,0.0377748030990922,0.364438976547794,0.0377748030990922,0.364438976547794,-3.35266475131512e-05,0.999394469153369,-5.03559703159483e-06,0.999394469153369,-5.03559703159483e-06,0.999394469153369,-5.03559703159483e-06,0.999394469153369,-5.03559703159483e-06,0.999394469153369,-5.03559703159483e-06,0.999394469153369
"2010300C02Rik",0.00117498113441062,0.977576169972895,0.00299409478006412,0.933354990820627,0.00299409478006412,0.933354990820627,0.00299409478006412,0.933354990820627,0.00299409478006412,0.933354990820627,0.00299409478006412,0.933354990820627,0.0427957107428785,0.352471651115694,0.117954524166972,0.00997057391581011,0.117954524166972,0.00997057391581011,0.117954524166972,0.00997057391581011,0.117954524166972,0.00997057391581011,0.117954524166972,0.00997057391581011,-8.66383745340069e-05,0.999394469153369,-6.63324105135327e-05,0.999394469153369,-6.63324105135327e-05,0.999394469153369,-6.63324105135327e-05,0.999394469153369,-6.63324105135327e-05,0.999394469153369,-6.63324105135327e-05,0.999394469153369
"2210408I21Rik",0.00549345960383118,0.808897578144071,-0.0103346984323909,0.715399231730778,-0.0103346984323909,0.715399231730778,-0.0103346984323909,0.715399231730778,-0.0103346984323909,0.715399231730778,-0.0103346984323909,0.715399231730778,-0.12158651092964,0.0566686473350638,0.188120676044479,0.00241284407898116,0.188120676044479,0.00241284407898116,0.188120676044479,0.00241284407898116,0.188120676044479,0.00241284407898116,0.188120676044479,0.00241284407898116,-1.60899289461437e-05,0.999394469153369,-6.89879766428559e-06,0.999394469153369,-6.89879766428559e-06,0.999394469153369,-6.89879766428559e-06,0.999394469153369,-6.89879766428559e-06,0.999394469153369,-6.89879766428559e-06,0.999394469153369
"2310022B05Rik",0.0049580031619246,0.8664632866135,0.000271395671553309,0.995856269310804,0.000271395671553309,0.995856269310804,0.000271395671553309,0.995856269310804,0.000271395671553309,0.995856269310804,0.000271395671553309,0.995856269310804,-0.0100938317912361,0.885110052474225,-0.186840677147311,2.22720761036076e-08,-0.186840677147311,2.22720761036076e-08,-0.186840677147311,2.22720761036076e-08,-0.186840677147311,2.22720761036076e-08,-0.186840677147311,2.22720761036076e-08,-2.00312374519384e-05,0.999394469153369,9.45954254936669e-05,0.999394469153369,9.45954254936669e-05,0.999394469153369,9.45954254936669e-05,0.999394469153369,9.45954254936669e-05,0.999394469153369,9.45954254936669e-05,0.999394469153369
"2410004P03Rik",0.00384612697506228,0.824209415280447,0.00414513055202199,0.729039410957118,0.00414513055202199,0.729039410957118,0.00414513055202199,0.729039410957118,0.00414513055202199,0.729039410957118,0.00414513055202199,0.729039410957118,0.483268445835809,5.58798291120281e-07,1.216239161482,1.65899760680544e-14,1.216239161482,1.65899760680544e-14,1.216239161482,1.65899760680544e-14,1.216239161482,1.65899760680544e-14,1.216239161482,1.65899760680544e-14,2.48067424335182e-05,0.999394469153369,1.36854327489951e-05,0.999394469153369,1.36854327489951e-05,0.999394469153369,1.36854327489951e-05,0.999394469153369,1.36854327489951e-05,0.999394469153369,1.36854327489951e-05,0.999394469153369
"2510039O18Rik",0.00632813663767594,0.815454114401415,0.00245910516654939,0.953148089834505,0.00245910516654939,0.953148089834505,0.00245910516654939,0.953148089834505,0.00245910516654939,0.953148089834505,0.00245910516654939,0.953148089834505,0.266542696569603,1.40752106326033e-06,0.0930203243172138,0.0135945544672222,0.0930203243172138,0.0135945544672222,0.0930203243172138,0.0135945544672222,0.0930203243172138,0.0135945544672222,0.0930203243172138,0.0135945544672222,-4.55954846344592e-06,0.999394469153369,9.31066750931541e-06,0.999394469153369,9.31066750931541e-06,0.999394469153369,9.31066750931541e-06,0.999394469153369,9.31066750931541e-06,0.999394469153369,9.31066750931541e-06,0.999394469153369
"2610001J05Rik",-0.00922583198183027,0.747682818102395,-0.017139176227633,0.711743306164316,-0.017139176227633,0.711743306164316,-0.017139176227633,0.711743306164316,-0.017139176227633,0.711743306164316,-0.017139176227633,0.711743306164316,-0.158218810586806,0.00316355562439846,-0.0197761954484595,0.726443349370852,-0.0197761954484595,0.726443349370852,-0.0197761954484595,0.726443349370852,-0.0197761954484595,0.726443349370852,-0.0197761954484595,0.726443349370852,4.14706861773624e-05,0.999394469153369,-6.9213191990959e-06,0.999394469153369,-6.9213191990959e-06,0.999394469153369,-6.9213191990959e-06,0.999394469153369,-6.9213191990959e-06,0.999394469153369,-6.9213191990959e-06,0.999394469153369
"2610002M06Rik",0.00397554493721868,0.912686778839035,0.00544746979288243,0.794800412790739,0.00544746979288243,0.794800412790739,0.00544746979288243,0.794800412790739,0.00544746979288243,0.794800412790739,0.00544746979288243,0.794800412790739,-0.198405743556265,4.16149756484467e-06,-0.0165295155377912,0.840038718503678,-0.0165295155377912,0.840038718503678,-0.0165295155377912,0.840038718503678,-0.0165295155377912,0.840038718503678,-0.0165295155377912,0.840038718503678,-5.9988945971294e-06,0.999394469153369,-6.70108932734608e-06,0.999394469153369,-6.70108932734608e-06,0.999394469153369,-6.70108932734608e-06,0.999394469153369,-6.70108932734608e-06,0.999394469153369,-6.70108932734608e-06,0.999394469153369
"2610008E11Rik",-0.00147549480484107,0.96891131109945,-0.00785825452888246,0.752457028629893,-0.00785825452888246,0.752457028629893,-0.00785825452888246,0.752457028629893,-0.00785825452888246,0.752457028629893,-0.00785825452888246,0.752457028629893,-0.200100140946709,8.45144288305822e-06,0.0592517669703636,0.365156355772061,0.0592517669703636,0.365156355772061,0.0592517669703636,0.365156355772061,0.0592517669703636,0.365156355772061,0.0592517669703636,0.365156355772061,3.06947698136698e-05,0.999394469153369,-7.38460910873496e-06,0.999394469153369,-7.38460910873496e-06,0.999394469153369,-7.38460910873496e-06,0.999394469153369,-7.38460910873496e-06,0.999394469153369,-7.38460910873496e-06,0.999394469153369
