"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-miR-1264",0,0,0,0,1,NA
"hsa-miR-1266-5p",0.0133440384393443,0.448067590242469,3.99604512749566,0.112127760309673,0.910722106672102,0.980698280279974
"hsa-miR-1269a",0,0,0,0,1,NA
"hsa-miR-127-3p",373.435746930513,0.344282101902109,0.802463070482013,0.42903170820722,0.66790014952546,0.980698280279974
"hsa-miR-127-5p",1.10546659472454,3.24023449228893,3.99373775236386,0.811328808550601,0.417176870332718,0.980698280279974
"hsa-miR-1270",0,0,0,0,1,NA
"hsa-miR-1271-5p",2.30725138214997,4.20638072421771,2.88745219984539,1.45677934493355,0.145177299248056,0.980698280279974
"hsa-miR-1273h-3p",0.00497359732952334,0.0964160853638607,3.99484902921201,0.0241351011412011,0.980744844808787,0.989910684479897
"hsa-miR-1275",0.0273360052624703,0.65246039593258,3.9959500603066,0.163280417944592,0.870297651204865,0.980698280279974
"hsa-miR-1281",0,0,0,0,1,NA
"hsa-miR-128-1-5p",3.07736252768637,4.40345821207843,3.5500360417657,1.24039817068681,0.214828157295447,0.980698280279974
"hsa-miR-128-3p",30.7853731415983,-0.0114345307033013,1.0798950532662,-0.0105885573498248,0.991551711436592,0.991551711436592
"hsa-miR-128-2-5p",0,NA,NA,NA,NA,NA
"hsa-miR-1286",0,0,0,0,1,NA
"hsa-miR-1287-5p",0,0,0,0,1,NA
"hsa-miR-1290",0.131649134475082,1.11719554057862,3.99565845831041,0.279602361471864,0.779782595147031,0.980698280279974
"hsa-miR-129-1-3p",0.00375907061633509,0.448067589366712,3.99604512749605,0.112127760090506,0.910722106845876,0.980698280279974
"hsa-miR-129-5p",23.3645411802775,-0.411773504157019,1.76411922416269,-0.233415915725571,0.81543845550692,0.980698280279974
"hsa-miR-1292-5p",0,NA,NA,NA,NA,NA
"hsa-miR-129-2-3p",0.94498964473471,2.94635960337488,3.99355021585185,0.737779530523921,0.460648434049087,0.980698280279974
"hsa-miR-1293",0,0,0,0,1,NA
"hsa-miR-1294",0,0,0,0,1,NA
"hsa-miR-1296-5p",1.29194662815728,-1.10083231897921,3.82258733727496,-0.287980946372299,0.773361323715269,0.980698280279974
"hsa-miR-1298-3p",33.5112051122061,-0.123598449430357,1.50992209136641,-0.0818575012161763,0.934760030088968,0.980698280279974
"hsa-miR-1298-5p",317.500659743193,0.150441254344944,0.641682586940608,0.234448086026789,0.814637131420217,0.980698280279974
"hsa-miR-1299",0,0,0,0,1,NA
"hsa-miR-1301-3p",0.372927838209096,-3.3957424320614,3.97948897104459,-0.853311180598658,0.393486761482861,0.980698280279974
"hsa-miR-1304-3p",0.394936753602494,2.12182490332306,3.99474280389907,0.531154321437677,0.595311843770202,0.980698280279974
"hsa-miR-1306-3p",0,0,0,0,1,NA
"hsa-miR-1307-3p",0.0458641110442597,0.7862155451413,3.99587551615473,0.19675676631135,0.844017885170019,0.980698280279974
"hsa-miR-1307-5p",1.31542744652047,3.46053384276409,3.99353934275898,0.866533053953425,0.386197908035536,0.980698280279974
