"","Anln","Asrgl1","Atraid","Bhlhe41","Car2","Cd209c","Chdh","Cldn14","Fads1","Gdf10","Gm21168","Gm5067","Gm6089","Hey1","Il17rb","Il33","Nrf1","Nudt4","P4ha3","Plpp3","Plxnb3","Rrs1","Slc45a3","Teddm2","Tlcd1","Tmc3","Tmem40","Wnt10b","mmu-miR-135b-5p","mmu-miR-212-3p","mmu-miR-221-3p","Samples"
"male_Q140_6m_2R",1307.02232328814,6890.31088901158,1532.72186106755,1178.44758660233,5027.36470422579,271.024444956423,290.449405175142,12.9499734791465,8460.95767241092,264.549458216849,27.7499431695996,77.6998408748789,87.8748200370654,1406.9221186987,61.0498749731191,1769.5213761148,740.923482628309,5333.53907719704,119.324755629278,8909.58175365278,1355.12222478211,639.173691006444,54.5748882335459,112.849768889705,819.548321608841,308.024369182555,59.1998787618125,98.0497991992519,187.12805645891,810.113387278635,6536.69682934726,"HD"
"male_Q140_6m_3R",1326.47578916902,7003.19487940268,1431.00108587653,1214.48439983956,5347.38144902034,242.233227290403,305.280231653659,16.5913169376988,8677.2587584165,273.756729472031,29.8643704878579,67.1948335976803,71.342662832105,1449.25153450799,84.6157163822641,1905.51275029471,765.689276674802,5646.02515389892,125.264442879626,9277.03486571431,1413.58020309194,679.414428598768,51.4330825068664,114.480086870122,885.976324473118,316.064587663163,78.8087554540695,97.0592040855383,179.051270171427,757.712420589083,7426.55836506486,"HD"
"male_Q140_6m_4R",1323.15906052315,6608.35660094027,1471.93309403243,1138.12135634598,4912.3326189345,263.144071769537,360.777031260001,29.7548067018557,8604.71816309291,291.039203052527,19.5265918980928,76.2466921735054,91.1240955244332,1435.66942336454,82.7555561395363,1669.98852614165,776.414487376548,5149.44123483991,122.738577645155,9236.07796779791,1501.68790073428,678.781527886084,57.6499379848455,138.545818705516,936.346573399023,325.443198301547,66.0184773697424,78.1063675923713,173.30406667478,688.574193484616,7301.98116641326,"HD"
"female_Q140_10m_1R",1834.99557062843,6457.5578197406,1545.25942789762,1538.14310158494,5293.53015859403,178.92477586183,309.051885579525,31.5151593847542,7731.38022971147,209.423317201915,3.04985413400847,20.3323608933898,12.1994165360339,1432.41482493931,76.2463533502117,1939.70722922939,678.084235794549,7176.30677732193,102.678422511618,8057.71462205037,1313.47051371298,588.621847863634,54.8973744121524,137.243436030381,758.397061323439,100.645186422279,36.5982496081016,65.0635548588473,210.207301386087,1294.5198676093,7804.4533209599,"HD"
"female_Q140_10m_2R",1804.68332088873,6800.30228349045,1524.66461092192,1756.77137431646,5475.80313824822,232.106763394539,289.601099281259,17.0353587812505,7652.07022255298,215.071404613288,19.1647786289069,50.0413664199235,72.4002748203148,1523.5999009981,87.306213753909,2068.73138199811,629.243564982442,7681.88210042017,121.37693131641,8459.12034481472,1253.16358034574,771.914694775415,50.0413664199235,149.059389335942,838.991419976589,83.0473740585964,41.5236870292982,88.3709236777372,194.964029912853,1052.05227735583,7506.58607925331,"HD"
"female_Q140_10m_3R",1559.2542073087,6743.96647299035,1950.98802293798,1617.82225327288,6243.73775254217,234.272183856726,265.956536591447,15.3621104168345,8255.21408524644,246.753898570404,8.64118710946941,17.2823742189388,16.3222423178867,1908.74221929169,42.2458036462949,2220.78508713364,801.71013737855,8167.84208225069,117.136091928363,9400.65144320166,1018.69994701634,891.002404176401,50.8869907557643,141.139389454667,828.593830608011,44.1660674483992,33.6046165368255,72.9700244799639,232.472300992306,1299.46055426469,7375.24761499767,"HD"
"female_Q140_10m_4R",2308.4033607761,6600.78582621922,1426.31492478723,1675.87204487113,5280.05275992903,212.123552071317,300.428379177929,17.277031390424,7601.89381178656,194.846520680893,15.3573612359325,47.9917538622889,64.3089501754672,1527.09760789803,68.1482904844503,2177.86579027067,750.591030406199,7667.16259703928,119.019549578477,7714.19451582432,1355.28712907104,727.5549885523,51.831094171272,149.734272050341,738.113174402004,72.9474658706792,52.7909292485178,79.6663114113996,219.715812078326,1397.90205075921,7057.44171260286,"HD"
"male_Q140_10m_1R",1851.02817439311,6729.28342731872,1428.07180078339,1904.4917609449,5816.83821683482,212.666266506012,373.057026161384,17.8211955172636,8037.35917828586,191.280831885295,22.5735143218672,68.9086226667524,78.4132602759596,1506.48506105935,79.6013399771105,2175.3739328073,634.434560414582,8389.03076982653,92.6702166897705,8062.30885201003,1466.09035122021,805.518037380312,38.0185504368289,142.569564138108,771.063726046936,110.491412207034,43.9589489425834,96.2344557932232,222.544749671465,1301.14496974583,7289.08236757271,"HD"
"male_Q140_10m_2R",1844.11559232628,6643.40306199163,1475.46236014313,1833.92241539956,5720.92055012321,167.337987880367,436.607745027963,27.1818051379276,7971.91378810784,214.90614687174,19.5369224428855,43.3210019385722,58.6107673286565,1509.43961656554,84.0937096454636,2106.58989818939,655.761048952504,8027.97626120482,102.781200677789,8028.82569261538,1416.85159281448,804.411545800546,45.8692961702529,120.619260299554,801.013820158305,87.4914352877046,40.7727077068915,106.17892632003,182.868288991157,1197.71172748341,6816.75551648442,"HD"
"male_Q140_10m_3R",1733.02498976221,6790.18458331818,1438.83545175117,1646.01118274486,5855.82203653664,232.036818712932,351.162864034304,26.9328450291797,8036.34660524522,246.539119882491,20.717573099369,47.6504181285486,54.9015687133278,1447.12248099092,85.9779283623812,2052.0756154925,698.182213448734,7174.49556431147,100.48022953194,8789.43038740728,1421.22551461671,743.760874267346,55.9374473682962,132.592467835961,804.877714910484,93.2290789471604,36.2557529238957,95.3008362570973,196.452883754541,1327.38434969284,6982.80018472704,"HD"
