"","Run","Sex","age","genotype","Name","Repeated","filename","Files"
"76","SRR1794348","female","2m","Q20","female_Q20_2m","female_Q20_2m_4R","SRR1794348_female_Q20_2m_4R","SRR1794348_female_Q20_2m_4R"
"77","SRR1794349","male","2m","Q20","male_Q20_2m","male_Q20_2m_1R","SRR1794349_male_Q20_2m_1R","SRR1794349_male_Q20_2m_1R"
"78","SRR1794350","male","2m","Q20","male_Q20_2m","male_Q20_2m_2R","SRR1794350_male_Q20_2m_2R","SRR1794350_male_Q20_2m_2R"
"79","SRR1794351","male","2m","Q20","male_Q20_2m","male_Q20_2m_3R","SRR1794351_male_Q20_2m_3R","SRR1794351_male_Q20_2m_3R"
"80","SRR1794352","male","2m","Q20","male_Q20_2m","male_Q20_2m_4R","SRR1794352_male_Q20_2m_4R","SRR1794352_male_Q20_2m_4R"
"81","SRR1794353","female","6m","Q20","female_Q20_6m","female_Q20_6m_1R","SRR1794353_female_Q20_6m_1R","SRR1794353_female_Q20_6m_1R"
"82","SRR1794354","female","6m","Q20","female_Q20_6m","female_Q20_6m_2R","SRR1794354_female_Q20_6m_2R","SRR1794354_female_Q20_6m_2R"
"83","SRR1794355","female","6m","Q20","female_Q20_6m","female_Q20_6m_3R","SRR1794355_female_Q20_6m_3R","SRR1794355_female_Q20_6m_3R"
"84","SRR1794356","female","6m","Q20","female_Q20_6m","female_Q20_6m_4R","SRR1794356_female_Q20_6m_4R","SRR1794356_female_Q20_6m_4R"
"85","SRR1794357","male","6m","Q20","male_Q20_6m","male_Q20_6m_1R","SRR1794357_male_Q20_6m_1R","SRR1794357_male_Q20_6m_1R"
"86","SRR1794358","male","6m","Q20","male_Q20_6m","male_Q20_6m_2R","SRR1794358_male_Q20_6m_2R","SRR1794358_male_Q20_6m_2R"
"87","SRR1794359","male","6m","Q20","male_Q20_6m","male_Q20_6m_3R","SRR1794359_male_Q20_6m_3R","SRR1794359_male_Q20_6m_3R"
"88","SRR1794360","male","6m","Q20","male_Q20_6m","male_Q20_6m_4R","SRR1794360_male_Q20_6m_4R","SRR1794360_male_Q20_6m_4R"
"89","SRR1794361","female","10m","Q20","female_Q20_10m","female_Q20_10m_1R","SRR1794361_female_Q20_10m_1R","SRR1794361_female_Q20_10m_1R"
"90","SRR1794362","female","10m","Q20","female_Q20_10m","female_Q20_10m_2R","SRR1794362_female_Q20_10m_2R","SRR1794362_female_Q20_10m_2R"
"91","SRR1794363","female","10m","Q20","female_Q20_10m","female_Q20_10m_3R","SRR1794363_female_Q20_10m_3R","SRR1794363_female_Q20_10m_3R"
"92","SRR1794364","female","10m","Q20","female_Q20_10m","female_Q20_10m_4R","SRR1794364_female_Q20_10m_4R","SRR1794364_female_Q20_10m_4R"
"93","SRR1794365","male","10m","Q20","male_Q20_10m","male_Q20_10m_1R","SRR1794365_male_Q20_10m_1R","SRR1794365_male_Q20_10m_1R"
"94","SRR1794366","male","10m","Q20","male_Q20_10m","male_Q20_10m_2R","SRR1794366_male_Q20_10m_2R","SRR1794366_male_Q20_10m_2R"
"95","SRR1794367","male","10m","Q20","male_Q20_10m","male_Q20_10m_3R","SRR1794367_male_Q20_10m_3R","SRR1794367_male_Q20_10m_3R"
"96","SRR1794368","male","10m","Q20","male_Q20_10m","male_Q20_10m_4R","SRR1794368_male_Q20_10m_4R","SRR1794368_male_Q20_10m_4R"
"97","SRR1794369","female","2m","Q80","female_Q80_2m","female_Q80_2m_1R","SRR1794369_female_Q80_2m_1R","SRR1794369_female_Q80_2m_1R"
"98","SRR1794370","female","2m","Q80","female_Q80_2m","female_Q80_2m_2R","SRR1794370_female_Q80_2m_2R","SRR1794370_female_Q80_2m_2R"
