Classifier,Age,features,params,Train_accuracy,confusion_matrix,Test_accuracy,precision,recall,f1,Genes
RandomForest,10,25,10,0.919230769,[[9 0][2 1]],0.833333333,0.818181818,1,0.9,mRNA
RandomForest,10,27,10,0.983333333,[[9 0][2 1]],0.833333333,0.818181818,1,0.9,mRNA
RandomForest,10,31,100,0.935897436,[[9 0][1 2]],0.916666667,0.9,1,0.947368421,mRNA
RandomForest,10,31,100,0.935897436,[[9 0][1 2]],0.916666667,0.9,1,0.947368421,mRNA
RandomForest,2,17,50,0.923076923,[[6 1][2 2]] ,0.727272727,0.75,0.857142857,0.8,mRNA
RandomForest,2,25,500,0.907692308,[[6 1][1 3]] ,0.818181818,0.857142857,0.857142857,0.857142857,mRNA
RandomForest,2,26,10,0.953846154,[[6 1][2 2]] ,0.727272727,0.75,0.857142857,0.8,mRNA
RandomForest,2,36,50,0.938461538,[[6 1][1 3]] ,0.818181818,0.857142857,0.857142857,0.857142857,mRNA
RandomForest,2,52,50,0.938461538,[[6 1][1 3]] ,0.818181818,0.857142857,0.857142857,0.857142857,mRNA
RandomForest,2,79,50,0.923076923,[[7 0][2 2]] ,0.818181818,0.777777778,1,0.875,mRNA
RandomForest,2,87,100,0.923076923,[[6 1][1 3]] ,0.818181818,0.857142857,0.857142857,0.857142857,mRNA
RandomForest,AGE,4,50,0.9,[[36  3][8  8]],0.8,0.818181818,0.923076923,0.86746988,mRNA
RandomForest,AGE,31,10,0.9,[[37  2][13  3]],0.727272727,0.74,0.948717949,0.831460674,mRNA
RandomForest,AGE,47,10,0.7875,[[39  0][14  2]],0.745454545,0.735849057,1,0.847826087,mRNA
RandomForest,AGE,76,500,0.87,[[39 0][15  1]],0.727272727,0.722222222,1,0.838709677,mRNA
RandomForest,AGE,89,50,0.8125,[[39 0][15  1]],0.727272727,0.722222222,1,0.838709677,mRNA
