"","HD2.log2FoldChange","HD2.padj","WT2.log2FoldChange","WT2.padj","HD6.log2FoldChange","HD6.padj","WT6.log2FoldChange","WT6.padj","HD10.log2FoldChange","HD10.padj","WT10.log2FoldChange","WT10.padj"
"Angptl2",-0.0106016630734061,0.471005498899702,-0.00192720518002772,0.921366581611471,-0.116957664377556,0.0402762150001523,-0.0280492921660199,0.266742531304422,-0.0151704167309583,0.370553326987281,-1.30749197206516e-05,0.997636213866355
"Apcdd1",-0.134823862128806,0.0276407340940397,-0.002396953174021,0.921366581611471,-0.037126760795502,0.164021846029618,-0.0879847397464836,0.0802131393054271,-0.133998830205489,0.0143672447004718,8.57463321718062e-06,0.997636213866355
"Aqp9",0.0114384251631472,0.442740642060057,0.00129961467597851,0.921366581611471,0.111383593719672,0.0425717692055186,0.00518718815062978,0.894631227812869,0.00630296593189575,0.709324163197866,0.000106464944977297,0.997636213866355
"Arntl",0.189354587026958,2.04900153118783e-05,0.00565189701367055,0.701843837417526,0.232939019636092,2.30318129444844e-09,0.266749039229368,9.47467401996083e-05,0.209752930787254,6.47239112434938e-08,-5.00204236586336e-06,0.997636213866355
"Atp2a3",0.0212143072903371,0.266313658584583,0.00486980383941866,0.772045015337172,0.144459760059356,0.0160526981383036,0.0185053717253653,0.558104635030453,0.14463674925926,0.0143672447004718,0.000470431466092677,0.935125584066951
"Atxn7l3",0.00158219099875734,0.436522513277365,0.00532614688891741,0.921366581611471,0.00206072348125068,0.997778888080173,0.00179873569361698,0.983265685088385,0.0443566974001293,0.0268833164370838,3.34473194550732e-05,0.997636213866355
"BC017158",-0.000154252468813781,0.999899773256004,0.00147953045156869,0.928740064975786,-0.0596941083830525,0.0228728330418992,-0.0207183028838768,0.637154712404941,-0.00505150113802847,0.850803416112921,5.50757915185577e-05,0.997636213866355
"Bcl6b",0.0191864678689175,0.323326841416812,0.00121089075201137,0.921366581611471,0.00362753360558555,0.802925859539948,0.018846137663424,0.392914294530506,0.213905614586394,0.00991865471823634,-7.81827365098078e-05,0.997636213866355
"Bicdl1",0.000129847544472055,0.999899773256004,0.00140961224230854,0.921366581611471,0.00155216853623987,0.997778888080173,0.00847665415724724,0.882332112815494,0.0822027843760745,0.0349551638248863,-7.5478333590385e-05,0.997636213866355
"Bmx",-0.166393269454632,0.0317067717573857,-0.00130395849318776,0.921366581611471,-0.138813226124496,0.0268328227940021,-0.297214530844701,0.0145817439280188,-0.34788912541377,1.88617142815749e-05,-0.000240861740626163,0.997636213866355
"Calr",0.000590106717043739,0.999899773256004,0.000166101578782506,0.98212616877088,0.00929535008797234,0.510032650856536,0.173897824716907,0.0179412334910287,0.0273360585728565,0.234189714220688,3.33215818017546e-05,0.997636213866355
"Casp1",-0.00386578765266314,0.725316061642695,0.000495711139337609,0.932480289497178,-0.00335803360224234,0.839263069414086,-0.0215303058758922,0.428908007181173,-0.190526388059899,0.00682628485123813,-7.83624007352948e-05,0.997636213866355
"Casq2",0.218473026762255,0.0170454182545109,0.00384931860127182,0.840922244257827,0.201867430903632,0.0126610178384033,0.0137094340069015,0.600335007678253,0.385212064959121,7.88547614062436e-06,0.0104043120679232,0.536430430878392
"Cbs",0.00538274948632889,0.388607469260544,0.00298511229749442,0.921366581611471,0.137725872411547,0.000464502999122791,0.0653542094164103,0.110300887002279,0.0270567516793801,0.227552262332666,0.0123521044670552,0.216920568171608
"Ccdc116",-0.0104888156617119,0.407826668663365,-0.00185769325782115,0.921366581611471,-0.127302913237935,0.0268328227940021,-0.272742158864735,0.0094301677724575,-0.0935487590954884,0.0542507196098767,-6.21974034782516e-05,0.997636213866355
"Ccdc190",0.0863166926986405,0.0523193447689398,0.00216303011846481,0.921366581611471,0.147147642285428,0.00917856171529255,0.119914635448846,0.0494774202182066,0.195449493372484,0.000173833708098399,5.81324478078413e-05,0.997636213866355
