"","U2.M2.log2FoldChange","U2.M2.padj","U6.M6.log2FoldChange","U6.M6.padj","U10.M10.log2FoldChange","U10.M10.padj"
"mmu-miR-126a-3p",2.20599587041922e-05,0.999509113902887,-0.357831572394169,5.59730930029253e-11,0.00119629116893327,0.992555394780332
"mmu-miR-126a-5p",-8.88448912397043e-05,0.999509113902887,-0.294365713002137,2.16899032406209e-10,0.0137346200660253,0.807258182288465
"mmu-miR-127-3p",2.51745603113518e-05,0.999509113902887,0.49736798464782,4.95890509897054e-09,0.000181139779294898,0.999373018314728
"mmu-miR-128-1-5p",0.000134609735685644,0.999509113902887,-0.398283468547046,5.08200437968713e-08,-0.0048677000796944,0.910909601380396
"mmu-miR-1298-3p",-1.18538468024102e-05,0.999509113902887,-0.636098968243951,3.12673898968684e-10,-0.00859302254845177,0.807258182288465
"mmu-miR-135b-5p",1.46817644055008e-05,0.999509113902887,-0.103752837700837,0.0710656928413554,-0.167619521765609,0.00868357901891779
"mmu-miR-136-3p",-1.36262197794868e-06,0.999955965815954,-0.517197645257704,9.85136161203757e-23,0.00195439244572766,0.972737340179717
"mmu-miR-139-5p",0.000208502059418094,0.999509113902887,0.208631438824253,4.10081141466744e-08,-0.00932744407664922,0.807258182288465
"mmu-miR-140-3p",2.0294244727988e-05,0.999509113902887,-0.370923298163421,2.93107501827355e-08,0.000487010530867804,0.999373018314728
"mmu-miR-142a-5p",-1.7748522987803e-05,0.999509113902887,-0.478760846275416,1.423059580936e-11,0.00287423579145039,0.962223135374091
"mmu-miR-148a-5p",-1.47956304475358e-05,0.999509113902887,-0.477998656482894,3.24364852680044e-09,-0.00230305730843505,0.971653343154634
"mmu-miR-148b-3p",7.3841424769135e-05,0.999509113902887,-0.283110869366519,3.40286180480887e-07,0.00173590218918867,0.972737340179717
"mmu-miR-148b-5p",3.72668516722855e-05,0.999509113902887,-0.358540513060269,1.36541996472611e-09,0.00716066708060955,0.832036431137308
"mmu-miR-151-3p",6.32328420069458e-05,0.999509113902887,-0.532905236217362,7.14070481663272e-15,0.00335277178657815,0.953743426674203
"mmu-miR-152-3p",7.21340491458143e-06,0.999509113902887,-0.430155014003775,3.82529034635351e-07,-0.00205372823247119,0.972737340179717
"mmu-miR-152-5p",2.87884125696344e-05,0.999509113902887,-0.521004386050109,2.96369814654431e-10,-0.0026819104027777,0.962223135374091
"mmu-miR-181a-1-3p",2.68532916092629e-05,0.999509113902887,-0.536600081332008,4.32395450762194e-15,0.0113123957117362,0.807258182288465
"mmu-miR-181b-5p",2.1966086886844e-05,0.999509113902887,0.320032942552444,3.12673898968684e-10,0.0151894951755935,0.807258182288465
"mmu-miR-181c-5p",-4.09077401736062e-05,0.999509113902887,-0.307634398038229,8.74793109246319e-11,0.00869922908858608,0.824013276185013
"mmu-miR-181d-5p",1.54861845064244e-05,0.999509113902887,0.399436647333752,4.50758364745792e-10,0.00160742078622133,0.977880622246795
"mmu-miR-1843a-5p",8.90327614025773e-06,0.999509113902887,-0.292443363115274,1.02645976403116e-09,0.00209095672128316,0.972737340179717
"mmu-miR-1843b-5p",6.85938647064218e-06,0.999509113902887,-0.29205973659823,1.02645976403116e-09,0.00219046345819442,0.972737340179717
"mmu-miR-191-5p",6.11622073448897e-05,0.999509113902887,0.476678938196236,3.84787317808811e-10,-0.000278363032533434,0.999373018314728
"mmu-miR-192-5p",1.80963942630721e-05,0.999509113902887,-0.288691267055723,1.04377336934581e-07,-0.00265732203523902,0.964729438369908
"mmu-miR-193b-3p",6.19105713759705e-05,0.999509113902887,0.281224221442023,5.63910421929117e-07,0.00450187616376629,0.930060602657805
"mmu-miR-194-5p",3.7381998855361e-05,0.999509113902887,-0.562091165132493,1.99432035546517e-17,-0.00258329621137565,0.967965538524816
"mmu-miR-19b-3p",3.56465035963805e-05,0.999509113902887,-0.51101636761787,3.57572231912343e-12,0.00132627254046037,0.983876424194295
"mmu-miR-210-3p",0.000143254402362844,0.999509113902887,0.464870583649587,3.39475959812969e-08,0.0126495565673519,0.807258182288465
"mmu-miR-212-3p",5.68130911195903e-05,0.999509113902887,-0.117835281546507,0.0344125449795177,-0.13511349754113,0.020758669796795
"mmu-miR-212-5p",1.97783697172885e-05,0.999509113902887,-0.0348943438126196,0.529351868853809,-0.105117957582713,0.0423514370553734
"mmu-miR-219a-2-3p",-1.23711604724316e-05,0.999509113902887,0.441806917647526,1.43161509001801e-08,0.00282715862391161,0.962223135374091
"mmu-miR-21a-5p",9.96319299586128e-05,0.999509113902887,-0.381038426210779,3.46990973367376e-15,-0.00324377574049318,0.962223135374091
"mmu-miR-221-3p",0.000163160046785013,0.999509113902887,-0.106964495598617,0.0163090684297229,-0.121831150090998,0.020758669796795
"mmu-miR-22-3p",2.77894861904059e-05,0.999509113902887,0.323631048766712,5.99483889481988e-08,1.36658255061059e-05,0.999373018314728
"mmu-miR-23b-3p",0.000139170457333562,0.999509113902887,-0.470942945280243,5.16591561242471e-08,-0.00604110326136958,0.832036431137308
