"","U2.M2.log2FoldChange","U2.M2.padj","U6.M6.log2FoldChange","U6.M6.padj","U10.M10.log2FoldChange","U10.M10.padj"
"Mkrn2",-0.00168799817052213,0.973464508691669,0.204647226712646,1.58246880346864e-10,-0.00023015694206242,0.998896051182073
"Mlst8",0.00321151609102407,0.953489894194697,0.0916519273462907,5.94506928364096e-07,0.0057926541318781,0.75679048208471
"Mob3b",-0.00160160403856131,0.952350155222627,0.0142495521643742,0.754737686485471,0.214552700326707,0.00129850460511532
"Mrps25",0.00120360204693606,0.973464508691669,0.30401170262694,5.31284488285832e-09,-0.000366689941856544,0.998333059150449
"Msto1",-0.00174328475602014,0.960051944677581,0.21983663942321,3.36674982396082e-08,-0.000593694182191886,0.997993037617109
"mt-Atp8",0.000410269298036488,0.990542262954265,-0.628393303446364,8.63931097873635e-16,-0.00148551231376021,0.978419573332456
"mt-Nd3",0.000428176711716411,0.989194360589409,-0.622327432672769,2.92153256552054e-13,-0.00451782980676035,0.739305283045059
"mt-Nd4l",0.00265694661688679,0.897170658457752,-0.295813878984749,9.62170874699086e-09,-0.00147156000036604,0.986894709151733
"Mtpn",0.000237662573074895,0.998375802679239,-0.132133822703753,4.23781073782716e-07,-0.00374725218857529,0.896626798514447
"Myh7",0.00020055023882803,0.994273202082373,0.0129690973976094,0.761976657709446,-0.252927083771881,0.00703382088057083
"Myo16",-0.0860168775945188,0.0491476471064949,-0.0472498112267195,0.230889515559367,0.000858188729008951,0.997993037617109
"Nde1",0.00779545223848278,0.541692375806072,0.0670753338526959,0.0477642614933728,0.139746767188156,0.00516398796932043
"Ndrg2",0.00363934339826611,0.877069375586509,-0.0549826338673899,0.0981824900101263,-0.105057689562725,0.0174922286580815
"Nemf",0.000208524569881668,0.997828018512605,0.313078045820806,4.12076518234629e-11,-7.70761857265135e-05,0.998896051182073
"Noct",-0.000925974848436431,0.973885619322941,-0.45580523456214,2.91959948411117e-16,-0.000546104749042247,0.997993037617109
"Nptxr",0.00124759229520166,0.973885619322941,-0.055642686169027,0.118466281369441,-0.0946304871321564,0.0393628392046827
"Nr1d1",-0.00352721509059815,0.862510646800217,-0.0343428074835583,0.372251021805772,-0.0848065127698123,0.0488177331655157
"Nrf1",0.00499028680168547,0.847207785275705,0.0799507098320739,0.00347804441723393,0.101102540485057,0.00763974294237504
"Nrip3",-0.0769452376006297,0.0455243773559764,-0.0900528518148928,0.0052618815549439,0.00520774002864012,0.721411819152106
"Nub1",-0.0260798529608647,0.041496196593065,-0.0274459910751724,0.13531984965134,-0.00705985031916079,0.665986935030961
"Nudt14",0.000609017791318221,0.978437276479517,0.46799343770232,1.59090069136485e-08,-0.00205117702899398,0.9502683909065
"Nudt4",0.000660421193950426,0.99294488797459,-0.0626081670350289,0.0179225993918403,0.110945195674754,0.00129850460511532
"Ocel1",0.00211789405082287,0.941985376238441,0.282713749235391,4.59671657717435e-10,0.00378880293681029,0.846300059457221
"Olfr1238",0.000905765651117759,0.952350155222627,-1.05674200988456,1.24375423942204e-20,-0.000298752786202259,0.998333059150449
"Olfr1336",0.000222764468305186,0.995580113626721,0.342972618762621,9.73914202983941e-07,-9.50233315910058e-05,0.998896051182073
"Olfr718-ps1",0.00123899055751788,0.94931215096345,0.411138740164365,1.37155077898494e-07,-0.000521769978647204,0.997993037617109
"Onecut2",-0.0010615285937309,0.941985376238441,0.0230800327865505,0.548191630065011,0.186007391107921,0.0153409994856931
"Otof",-0.000209457957744842,0.995160041833978,-0.0100781056283324,0.827034473671193,-0.337223891496732,0.000792562860123978
"P2rx6",-0.000325031837776664,0.990542262954265,0.402813550805023,1.69329326878633e-07,-0.00292947298172251,0.896626798514447
"P2rx7",0.00115566170428954,0.983087597776423,0.0313323096665883,0.356018390267288,0.107518954404944,0.0107996064738092
"P4ha3",0.00296283412924893,0.815422576617532,0.0906879558038858,0.022419782642983,0.247658393652323,0.00263563155279138
"Pak6",0.00235207362126831,0.959827151740756,0.0173171860269783,0.613010459456319,-0.0716774039204987,0.0393804308251363
"Pcbp3",-0.150101480664699,0.0132719729521438,-0.0740070944965022,0.0376375782543628,-0.00135970283549982,0.990904396582106
"Pcsk9",-0.0009251835767317,0.951733237540887,0.00837770753683859,0.84349115361422,-0.197010161049283,0.0127877018345381
"Pdk4",0.00477308558591941,0.755806543712609,0.0343094742041154,0.372141273808487,0.119929450596049,0.0168091067059228
